StationCode,LandUse,PercentUrbanLandUse,Year,SampleDate,SumPyrethroid_ToxicUnits
408CGCS06,Urban,37.11047055,2011,6/9/11,0.182020102
902SSMR07,Urban,36.94471982,2008,5/21/08,0.180620155
541STC019,Agriculture,7.018792711,2015,7/15/15,0.179345351
204ALA020,Urban,91.04046243,2015,6/23/15,0.17751938
723NROTWM,Agriculture,5.323325137,2015,10/19/15,0.171519973
903SLRRBB,Urban,66.00203459,2017,5/2/17,0.17134851
801SARVRx,Urban,62.14292678,2012,5/9/12,0.169767442
520BUTPAS,Agriculture,2.438297167,2010,8/24/10,0.168217054
207LAU020,Urban,58.03184802,2017,6/27/17,0.168145207
206SON010,Open,16.96743193,2013,6/25/13,0.16744186
535STC504,Agriculture,4.531046907,2011,9/8/11,0.167095063
520CBDKLU,Agriculture,6.633542215,2017,8/1/17,0.165697019
504BCHROS,Urban,85.93501477,2014,7/22/14,0.163565891
535STC504,Agriculture,4.531046907,2016,8/17/16,0.16124031
504BCHROS,Urban,85.93501477,2011,8/1/11,0.158914729
403STCEST,Urban,61.28938369,2010,5/27/10,0.157364341
403STCEST,Urban,61.28938369,2011,6/9/11,0.156589147
315ATA,Urban,81.01692943,2016,6/14/16,0.156008776
603BSP002,Urban,34.55314374,2012,10/9/12,0.151162791
504BCHROS,Urban,85.93501477,2013,7/23/13,0.149612403
723ARGRB1,Open,5.232759616,2010,10/6/10,0.14414265
204ALA020,Urban,91.04046243,2013,6/25/13,0.141860465
801SARVRx,Urban,62.14292678,2011,5/25/11,0.141860465
903SLRRBB,Urban,66.00203459,2015,4/24/15,0.141860465
535STC501,Agriculture,6.059115503,2011,7/22/11,0.13875969
904ESCOxx,Urban,56.73274445,2012,5/8/12,0.13875969
544SAC002,Agriculture,0.782918149,2010,9/1/10,0.138670672
541SJC501,Agriculture,6.419400856,2010,9/1/10,0.135658915
310ARG,Urban,48.12992126,2015,5/27/15,0.13255814
403STCEST,Urban,61.28938369,2013,5/29/13,0.13255814
